RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b13653611;1  ;1900;1903;الحديقة :;جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين /;"جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين$""al-Ḥadīqah :""";الحديقة;;;;بيروت :;المدرسة الكلية السورية الإنجيلية،;1900-1903.;"2 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم، تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;"في المكتبة:1902:كانون الثاني-حزيران؛ 1903:كانون الثاني-حزيران.";
b1365374x;s  ;1900;1903;الحديقة :;جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين /;"al-Ḥadīqah :$""جريدة علمية أدبية فكاهية تصدر مرة كل أسبوعين""";الحديقة;;;;بيروت :;المدرسة الكلية السورية الإنجيلية،;1900-1903.;2 مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم رقم: Mic-P:AUB:000004;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 4.$""الاعداد محفوظة في دائرة الارشيف والمجموعات الخاصة (مكتبة يافث التذكارية)""";في المكتبة : س.3-4(1902:كانون الثاني،21-1903:كانون الثاني،20);
b2554343x;s  ;1924;1926;الحرية :;مجلة علمية أدبية شهرية.;;;;;;بغداد، العراق :;المطبعة العصرية،;1924-1926.;"مجلدات ؛ 26 سم";شهرية.;CEASE;;;"في المكتبة : مج.1:ع.1-10(1924:آب-1925:نيسان)؛ مج.2:ع.1-10(1925:تموز-1926:نيسان)";السنة الأولى، العدد الأول (00 1924)
b15011677;1  ;1909;1910;الحرية.;;;الحرية;;;;بيروت :;داود مجاعص،;1909-[1910];"1 بكرة ميكروفيلم : ايجابي ؛ 35 مم";أسبوعية.;CEASE;;"ينقص العدد 34 صفحات 523-536 .$""نسخة مصورة  على ميكروفيلم. تمّ التصوير في جامعة هارفاد.""";في المكتبة:مج.1:ع.1-37(1909:تموز-1910:نيسان);صدرت سنة 1909.
b12829985;s  ;1896;1953;الحساب الختامي لسنة ... /;;"al-Ḥisāb al-khitāmī li-sanat ...$""حساب ختامي عن مصالح المالية سنة ...""";الحساب الختامي لسنة ...;;;;القاهرة :;وزارة المالية والإقتصاد،;[1896-1953];22 مجلد;سنوية.;CEASE;;;في المكتبة:1896-1903، 1927/1926-1928/1927، 1931/1930، 1933/1932، 1945/1944-1953/1952.;
b12829973;s  ;1893;1927;الحساب العمومي لسنة ... المالية /;;"al-Ḥisāb al-‘umūmī li-sanat ... al-Mālīyah$""حساب عمومي""";الحساب العمومي لسنة ... المالية ;;;;القاهرة :;وزارة المالية،;[1893-1927];22 مجلد;سنوية.;CEASE;;;في المكتبة:1893-1895، 1904-1917، 1919-1927.;
b12823181;1  ;1909;1912;الحسناء :;مجلة نسائية أدبية أخلاقية إجتماعية.;"al-Ḥasnā’ :$""al-Hasna """;الحسناء;;;;بيروت :;مطبعة جريدة حديقة الاخبار،;1909-1912.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 سم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :مج. 1، 3 (1909:حزيران-1910:ايار)، (1911:تشرين اول-1912:تموز);صدر العدد الاول حزيران 1909.
b13163218;s  ;1909;1912;الحسناء :;مجلة نسائية أدبية أخلاقية إجتماعية.;"al-Ḥasnā’ :$""al-Hasna """;الحسناء;;;;بيروت :;مطبعة جريدة حديقة الاخبار،;1909-1912.;"مجلدات ؛ 24 سم";;CEASE;ايضاً نسخة مصورة على ميكروفيلم رقم : Mic-NA:000156;تحفظ المجلدات في دائرة المجموعات الخاصة والارشيف;"في المكتبة : مج.1:ع.1-12(1909-1910)؛ مج.3:ع.1-10(1911-1912)";صدر العدد الاول حزيران 1909.
b13627648;1  ;1910;1913;الحضارة :;جريدة يومية عربية سياسية فنية ادبية.;"al-Ḥaḍārah :$""El-Hadarah""";الحضارة;;;;الآستانة :;عبد الحميد الزهراوي،;1910-1913.;"ا بكرة ميكروفيلم : ايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم . تم التصوير في University of Chicago- Middle East section. 1993;في المكتبة:مج.1:ع.1-مج.3:ع.145(1910:نيسان-1913:كانون الثاني);
b13162810;s  ;1901;1902;الحظ :;مجلة أدبية فكاهية انتقادية مصورة اسبوعية;"مجلة أدبية فكاهية انتقادية مصورة اسبوعية$""al-Ḥaẓẓ :""";الحظ;;;;بيروت :;[المدرسة الكلية السورية الإنجيلية]،;1901-1902.;مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-P:AUB:000002;"تحفظ المجموعة في دائرة الأرشيف والمجموعات الخاصة$""The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 4.""";في المكتبة : 1901 : تشرين الثاني - 1902 : حزيران.;صدرت في 14 تشرين الثاني 1901.
b13592749;1  ;1902;1903;الحظ :;مجلة أدبية فكاهية انتقادية مصورة اسبوعية /;"مجلة أدبية فكاهية انتقادية مصورة اسبوعية$""al-Ḥaẓẓ :""";الحظ;;;;بيروت :;المدرسة الكلية السورية الإنجيلية،;1901-1902.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة الجامعة الاميركية.;في المكتبة:1901:تشرين الثاني-1902:حزيران.;صدرت في 14 تشرين الثاني 1901.
b12828543;1  ;1910;1912;الحقائق.;;al-Ḥaqā’iq;الحقائق;;;;دمشق :;عبد القادر بن محمد سليم الكيلاني الإسكندراني،;1910-1912.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 16 مم";;CEASE‎;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1996.;في المكتبة:1910:آب-1912:تشرين الأول.;صدر الجزء الاول المجلد الاول آب 1910.
b17912118;s  ;1910;1912;الحقائق.;;al-Ḥaqā’iq;الحقائق;;;;دمشق :;عبد القادر بن محمد سليم الكيلاني الإسكندراني،;1910-1912.;"مجلدات ؛ 22 سم";;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000322;تحفظ في دائرة الارشيف والمجموعات الخاصة.;في المكتبة : مج.1:ج.1- مج.2:ج.11-12 (1910: آب -1912);صدر الجزء الاول المجلد الاول آب 1910.
b2327850x;s  ;1900;19uu;الحقوق :;مجلة حقوقية عمرانية.;;الحقوق;;;;بيروت، لبنان :;[نجيب خلف]،;1900-[19؟؟];"مجلد ؛ 22 سم";سنوية.;CEASE;;;في المكتبة:مج.1:ع.1-17(1900:شباط-1911:شباط);المجلد الأول، العدد الأول (شباط 1900)
b12818409;s  ;1906;19uu;الحقيقة :;مجلة لبنانية تهذيبية فكاهية.;"al-Ḥaqīqah :$""al-Hakikat""$""الحقيقة :""";الحقيقة;;;;بعبدات، لبنان :;نعيم صوايا،;1906-[19؟؟];"1 مجلد ؛ 23 سم";مرتين في الشهر.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000157;;في المكتبة : مج. 1-15(1906:كانون الثاني -تشرين الثاني);
b12823193;1  ;1906;19uu;الحقيقة :;مجلة لبنانية تهذيبية فكاهية.;"al-Ḥaqīqah :$""al-Hakikat""$""الحقيقة :""";الحقيقة;;;;بعبدات، لبنان :;[نعيم صوايا]،;1906-[19؟؟];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";مرتين في الشهر.;CEASE;;;في المكتبة : مج.1 (1906 : كانون الثاني - تشرين الثاني);
b23281625;s  ;1908;1921;الحقيقة :;جريدة يومية سياسية أدبية.;al-Ḥaqīqah :;الحقيقة;;;;بيروت :;مطبعة بيروت،;1909-1921.;"عدد ؛ 60 سم";يومية.;CEASE;متوفر أيضاً على ميكروفيلم رقم Mic-NA:000001.;;في المكتبة:مج.11:ع.999(1918:كانون الأول);
b12820660;1  ;1909;1921;الحقيقة :;جريدة يومية سياسية أدبية.;al-Ḥaqīqah :;الحقيقة;;;;بيروت :;مطبعة بيروت،;1909-1921.;"3 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";يومية.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1910:كانون الثاني-1921:تموز;
b23277403;s  ;1913;1927;الحكمة :;مجلة دينية أدبية تاريخية إخبارية.;al-Hikmat :;الحكمة;;;;دير الزعفران، تركيا :;المطبعة السريانية،;1913-1927.;مجلد : 24 سم;مرتين في الشهر.;CEASE;;;في المكتبة:مج.1:ع.1-24(1913:آب-1914:تموز);السنة الأولى، العدد الأول (آب 1913)
b2537591x;s  ;1913;193u;الحكمة :;مجلة دينية أدبية تاريخية إخبارية /;"Hikmat$""Wisdom""";الحكمة;;;;القدس، فلسطين :;دير مار مرقس للسريان الأرثوذكس،;[1913], 1927-[193؟];"مجلدات : مصورات ؛ 24 سم";فصلية، <تشرين الأول  1990->;CEASE;;;"في المكتبة: مج.2:ع.2، 4، 5، 9(1927:تشرين الثاني، 1928:كانون الثاني، شباط، حزيران)؛ مج.3:ع.5-8(1929:أيار-تشرين الأول)؛ مج.4:ع.1، 2، 4(1930:كانون الثاني، شباط، نيسان)؛ مج.5:ع.1-2، 4، 5، 7، 9-10(1931:كانون الثاني-آذار، نيسان، حزيران، أيلول، تشرين الثاني- كانون الأول)";
b26029212;s  ;1911;1955;الحوادث :;جريدة سياسية إخبارية أدبية /;"الحوادث :$""الحوادث :""$""al-Hawadés""$""al-Hawadeth""$""Ḥawādith""$""al-Ḥawādith :""";الحوادث;;;;بيروت :;لطف الله خلاط،;1911-1955.;"880-05 مجلدات : مصورات ؛ 56 سم";نصف أسبوعية.;CEASE;;;في المكتبة : ع.1505، 1509-1511(1931:كانون الثاني، شباط);1911-1955
b26030433;1  ;1911;1955;الحوادث :;جريدة سياسية إخبارية أدبية /;"الحوادث :$""الحوادث :""$""al-Hawadés""$""al-Hawadeth""$""Ḥawādith""$""al-Ḥawādith :""";الحوادث;;;;بيروت :;لطف الله خلاط،;1911-1955.;"880-05 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";نصف أسبوعية.;CEASE;متوفر ايضاً على نسخة مطبوعة : b26029212.;تصور الاعداد الجارية فصلياً على ميكروفيلم.;"في المكتبة: كانون الأول 1911-كانون الأول1913 ؛ تشرين الأول1918-تشرين الأول1922.";1911-1955
b23273537;s  ;1920;1925;الحياة الجديدة :;مجلة أخلاقية علمية.;;الحياة الجديدة;;;;بيروت، لبنان :;المطبعة الوطنية،;1920-[1925];"مجلد : مصورات ؛ 23 سم";;CEASE;;;في المكتبة: مج.2:ع.1(1923:تشرين الثاني);1920-1925.
b12821251;1  ;1919;1927;الخدر :;مجلة نسائية علمية ادبية.;al-Khidr :;الخدر;;;;بيروت :;[عفيفة فندي صعب]،;1919-1927.;"7 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;"في المكنبة: 1919:تموز-1925:حزيران؛ 1925:تشرين الأول-1926:تموز؛ 1927:كانون الثاني-أيلول.";
b2327718x;s  ;1919;1927;الخدر :;مجلة نسائية علمية ادبية.;al-Khidr :;الخدر;;;;بيروت :;[عفيفة فندي صعب]،;1919-1927.;مجلدات.;;CEASE;متوفر أيضاً على ميكروفليم Mic-NA:000050;;"في المكتبة: مج.3:ع.8(1922:شباط)؛ مج.5:ع.6، 8، 9، 11(1923:كانون الأول، 1924:شباط، آذار، أيار)؛ مج.6:ع.1-11(1924:تموز-1925:حزيران)؛ مج.7:ع.1، 2، 4- 10(1925:تشرين الأول، تشرين الثاني، 1926:كانون الثاني-تموز)؛ مج.8:ع.1، 2، 5-9(1927:كانون الثاني، شباط، أيار-أيلول)";العدد الأول (تموز 1919)
b23277610;s  ;1923;19uu;الخزانة /;;The Library :;الخزانة;;;;بغداد، العراق :;لجنة مكتبة السلام،;1923-[19؟؟];"عدد ؛ 24 سم";كل ثلاثة أشهر.;CEASE;;;في المكتبة:مج.1:ع.1(1923:كانون الثاني);المجلد الأول، العدد الأول كانون الثاني 1923.
b23273586;s  ;1900;19uu;الدائرة :;مجلة أدبية تاريخية فكاهية.;"The Circle :$""AD-Dairat""";الدائرة;;;;نيويورك :;مطبعة جريدة مرآة الغرب،;1900-[19؟؟];"مجلد ؛ 25 سم";مرتين في الشهر.;CEASE;;;في المكتبة: مج.1:ع.1، 3-7، 10/11(1900:أيار، حزيران-تموز، تشرين الأول);السنة الأولى، العدد الأول (أيار 1900)
b17607474;1  ;1903;1904;الدائرة :;جريدة علمية رياضية حكمية /;al-Dā’irah :;الدائرة;;;;بيروت :;الكلية السورية الانجيلية،;1903-[1904];" بكرة ميكروفيلم : سلبي وايجابي؛  35 مم.";كل اسبوعين مرة.;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة الجامعة الاميركية.;في المكتبة:مج.1:ع.1-7(1903-1904);
b13157759;1  ;1923;9999;الدبور :;جريدة سياسية انتقادية فكاهية مصورة.;al-Dabūr :;الدبور;;;;بيروت :;مطبعة الهدى،;1923-;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;"نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2000.$""Ceased coming.""";في المكتبة:1927:كانون الثاني -1932:كانون الاول،1934: كانون الثاني-1935:كانون اول ، 1937:كانون الثاني -1961:حزيران.;صدرت في اول كانون الثاني 1923.
b12818161;s  ;1928;1933;الدليل :;مجلة شهرية جامعة تعنى بالشؤون الإقتصادية والعمرانية.;"al-Dalīl :$""Ad-Dalil""";الدليل;;;;سان باولو، برازيل :;توفيق فضل الله ضعون،;1928-[1933];"6 مجلدات : مصورات ؛ 31 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000493;;في المكتبة:مج.1-6(1928:نيسان-1933:أيلول);صدر الجزء الاول السنة الاولى نيسان سنة 1928.
b13582999;1  ;1928;1933;الدليل :;مجلة شهرية جامعة تعنى بالشؤون الإقتصادية والعمرانية.;"al-Dalīl :$""Ad-Dalil""";الدليل;;;;سان باولو، برازيل :;توفيق فضل الله ضعون،;1928-[1933];"7 بكرات ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية;في المكتبة:مج. 1-6 (1928:نيسان-1933:ايلول);صدر الجزء الأول السنة الأولى نيسان سنة 1928.
b12829298;s  ;1918;1988;الدليل الهجائي للقوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية خلال ... /;;"al-Dalīl al-hijāʼī lil-qawānīn wa-al-marāsīm wa al-qarārāt al-manshūrah fī al-Jarīdah al-rasmīyah khilāla ...$""فهرس القوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية""";الدليل الهجائي للقوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية خلال عام ...;;;;بيروت :;مؤسسة المحفوظات الوطنية،;1918-1988.;"مجلدات ؛ 28 سم";;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000180(4);;في المكتبة:1918-1988.;صدرت سنة 1947.
b13375167;1  ;1918;1988;الدليل الهجائي للقوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية خلال ... /;;"al-Dalīl al-hijāʼī lil-qawānīn wa-al-marāsīm wa al-qarārāt al-manshūrah fī al-Jarīdah al-rasmīyah khilāla ...$""فهرس القوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية""";الدليل الهجائي للقوانين والمراسيم والقرارات المنشورة في الجريدة الرسمية خلال عام ...;;;;بيروت :;مؤسسة المحفوظات الوطنية،;1918-1988.;"1 بكرة ميكروفيلم ؛ 35 مم";;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة :(1918-1988);صدرت سنة 1947.
b25541171;s  ;1925;1939;الدنيا وكل شيء /;;ADDUNIA;الدنيا وكل شيء;;;;القاهرة، مصر :;دار الهلال،;1925-1939.;"مجلدات : مصورات ؛ 42 سم";أسبوعية.;CEASE;;;"في المكتبة: ع.157-178(1928-1929)؛ ع.251(1930:آب)؛ ع.301(1931:آب)؛ ع.330، 370(1932:آذار، كانون الأول)؛ ع.421(1933:تشرين الثاني)؛ ع.463(1934:أيلول)؛ ع.498(1935:أيار)؛ ع.646(1938:آذار)";
b12823387;1  ;1927;1928;الدنيا وكل شيء /;;ADDUNIA;الدنيا وكل شيء;;;;القاهرة، مصر :;دار الهلال،;1925-1939.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;;في المكتبة:1927:كانون الأول-1928:أيلول.;
b23277130;s  ;1929;19uu;الذخائر :;مجلة علمية أدبية فكاهية جامعة.;;الذخائر;;;;بعبدا، لبنان :;[مجلة الذخائر]،;1929-[19؟؟];"مجلد ؛ 24 سم";شهرية.;CEASE;;;في المكتبة: مج.1:ع.3، 12(1929:نيسان، 1930:كانون الثاني);
b12818197;s  ;1927;1931;الذكرى :;مجلة المدرسة الداودية /;"al-Dhikrá :$""الذكرى :""$""مجلة المدرسة الداودية :""$""الذكرى :""";الذكرى;;;;عبيه، لبنان :;المدرسة الداودية،;1927-[1931];"مجلدات : مصورات ؛ 22 سم";شهرية.;CEASE;"الاعداد التي صدرت تحت عنوان  مجلة المدرسة الداودية : علمية اجتماعية مدرسية  متوفرة ايضاً على ميكروفيلم : Mic-NA:000449$""الاعداد التي صدرت تحت عنوان   الذكرى : مجلة المدرسة الداودية  متوفرة ايضاً على ميكروفيلم : Mic-NA:000450""";;"في المكتبة: مج.1(1927:آب-كانون الاول)؛ مج.2:ع.4، 5(1928:نيسان، أيار)";
b13150212;1  ;1927;1931;الذكرى :;مجلة المدرسة الداودية /;"al-Dhikrá :$""الذكرى :""$""مجلة المدرسة الداودية :""$""الذكرى :""";الذكرى;;;;عبيه، لبنان :;المدرسة الداودية،;1927-[1931];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفليمية، مكتبة يافث التذكارية، 2000;في المكتبة : س.1 : ع.1 - 7 / 8 (1927 : نيسان - تشرين الثاني / كانون الاول);
b12821007;1  ;1929;1938;الرابطة /;;al-Rābiṭah;الرابطة;;;;سان باولو :;الرابطة الوطنية السورية،;1929-1938.;"3 بكرة ميكروفيلم : سلبي وإيجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1929:كانون الثاني-1931:كانون الاول،1934: كانون الثاني- كانون الاول،1937:كانون الثاني- 1938:كانون الاول.;
b12825980;s  ;1928;1931;الرابطة الشرقية /;;al-Rābiṭah al-Sharqīyah;الرابطة الشرقية;;;;القاهرة :;جمعية الرابطة الشرقية،;1928-1931.;"مجلد ؛ 26 سم";شهرية.;CEASE;;;في المكتبة :س. 2:ع.1-10(1929: نوفمبر 15-1930: تموز15);صدرت عام 1928.
b2328061x;s  ;1888;1890;الراوي.;;;الراوي;;;;الإسكندرية، مصر :;[خليل زينية]،;1888-1890.;"مجلد ؛ 23 سم";شهرية.;CEASE;;;في المكتبة:مج.1:ع.1-12(1888:آذار-1889:آذار);السنة الأولى، العدد الأول (آذار 1888)
b12821597;1  ;1927;1973;الراية (بيروت).;;al-Rāyah (al-Bayrūt);الراية (بيروت);;;;بيروت :;[يوسف السودا]،;1927-1973.;"11 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :1927: كانون الثاني-1928:كانون الاول،1969:ايار-حزيران،1970: كانون الثاني-1973:كانون اول،1981: نيسان-ايلول.;
b1282088x;1  ;1919;1929;الرائد :;جريدة وطنية إنتقادية سياسية حرة.;"al-Rā’id :$""الرائد الممتاز""";الرائد;;;;[بيروت] :;[نجيب قسطنطين حداد];1919-1929.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1926:كانون الثاني-1929:كانون الثاني.;
b25808692;s  ;1919;1929;الرائد :;جريدة وطنية إنتقادية سياسية حرة.;"al-Rā’id :$""الرائد الممتاز""";الرائد;;;;[بيروت] :;[نجيب قسطنطين حداد];1919-1929.;عدد : مصورات;;CEASE;متوفر أيضاً على ميكروفيلم Mic-NA:000020.;;في المكتبة: مج.10:الرائد الممتاز(1928:كانون الثاني);
b12828014;1  ;1860;9999;الرائد الرسمي للجمهورية التونسية /;;"al-Rāʼid al-rasmī lil-Jumhūrīyah al-Tūnisīyah$"" الرائد التونسي""";الرائد الرسمي للجمهورية التونسية;;;;تونس :;المطبعة الرسمية للجمهورية التونسية،;1860-;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";مرتين في الاسبوع.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة الكونغرس، 1984;في المكتبة:1976:آذار-1984:ايلول-1985:كانون اول،1987:كانون الثاني-1993:كانون اول.;صدر العدد الأول 22تموز 1860.
b1282964x;s  ;1860;9999;الرائد الرسمي للجمهورية التونسية /;;"al-Rāʼid al-rasmī lil-Jumhūrīyah al-Tūnisīyah$"" الرائد التونسي""";الرائد الرسمي للجمهورية التونسية;;;;تونس :;المطبعة الرسمية للجمهورية التونسية،;1860-;"مجلدات ؛ 30 سم";مرتين في الاسبوع.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000273;;في المكتبة:مج. 103-118، 120-123(1960-1980:آذار);
b12821019;1  ;1896;1897;الرائد المصري :;جريدة سياسية تاريخية أدبية إخبارية.;al-Rā’id al-Miṣrī :;الرائد المصري;;;;القاهرة :;نقولا شحادة،;[1896-1897];"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";مرتين في الاسبوع.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة : 1897 : كانون الثاني - كانون الأول.;
b13163255;s  ;1896;1897;الرائد المصري :;جريدة سياسية تاريخية أدبية إخبارية.;al-Rā’id al-Miṣrī :;الرائد المصري;;;;القاهرة :;نقولا شحادة،;[1896-1897];"مجلدات : مصورات ؛ 33 سم";مرتين في الاسبوع.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000030;تحفظ في دائرة الارشيف والمجموعات الخاصة;في المكتبة:1897:كانون الثاني- كانون الاول.;
b21174891;s  ;1902;1902;الرقيب :;جريدة اخبارية انتقادية تصدر مرة في الاسبوعين.;"جريدة اخبارية انتقادية تصدر مرة في الاسبوعين.$""Al-raqīb :""";الرقيب;;;;بيروت :;[المدرسة الكلية السورية الإنجيلية]،;1902;عدد 1.;مرتين في الشهر.;CEASE;;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 4.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة :ع. 3(1902);
b12823296;1  ;1911;1928;الرقيب :;جريدة سياسية أسبوعية جامعة.;al-Raqīb :;الرقيب;;;;القاهرة :;[جورج طنوس]،;1911-1928.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة :مج. 15-16(1927:كانون الثاني-1928: فبراير);
b12820064;s  ;1869;1942;الروزنامة التونسية.;;al-Rūznāmah al-Tūnisīyah;الروزنامة التونسية;;;;تونس :;[عبده محمد بن الخوجة]،;[1869-1942];مجلدات : مصورات;;CEASE;;;في المكتبة :(1319-1335هـ[1869-1942]);صدرت سنة 1901.
b23286519;s  ;1917;191u;الروضة :;مجلة شهرية جامعة.;"al-Raudat$""The Meadow :""$""Meadow :""";الروضة;;;;لورنس، ماس. :;[بطرس عبود شعيا]،;1917-191؟;"عدد ؛ 24 سم";شهرية.;CEASE;;;في المكتبة:مج.2:ع.21(1919:كانون أول);السنة الأولى، العدد الأول (تشرين الثاني 1917)
b23281923;s  ;1910;19uu;الرياض :;أهم مقاصدها نفع الأمة العربية.;AlRyadh;الرياض;;;;بغداد، العراق :;مطبعة الشابندر،;1910-[19؟؟];"عدد ؛ 41 سم";;CEASE;;;في المكتبة:مج.4:ع.181(1914:شباط);
b23286301;s  ;1888;1uuu;الرياض المصرية :;مجلة علمية صناعية أدبية تاريخية.;;الرياض المصرية ;;;;مصر :;مطبعة فرنكواجبسيان،;1888-[1؟؟؟];"عدد ؛ 27 سم";نصف شهرية.;CEASE;;;في المكتبة:مج.1:ع.1(1888:أيلول);السنة الأولى، العدد الأول (أيلول 1888)
b12822012;1  ;1900;1901;الرئيس :;مجلة طبية جراحية علمية أدبية تاريخية.;al-Ra’īs :;الرئيس;;;;جونية، لبنان :;[لويس الخازن]،;1900-1901.;"1 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر أيضاً بنسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية.;في المكتبة:1900:كانون الثاني-1901:كانون الأول.;
b12826480;s  ;1900;1901;الرئيس :;مجلة طبية جراحية علمية أدبية تاريخية.;al-Ra’īs :;الرئيس;;;;جونية، لبنان :;[لويس الخازن]،;1900-1901.;"مجلد ؛ 22 سم";شهرية.;CEASE;متوفر أيضاً علة ميكروفيلم رقم : Mic-NA:000118.;;في المكتبة: مج.1:ع.1-مج.2:ع.12(1900:كانون الثاني-1901:كانون الأول);السنة الأولى، العدد الأول (كانون الثاني 1900)
b12819001;s  ;1924;1930;الزهراء :;مجلة علمية أدبية إجتماعية /;al-Zahrā’ :;الزهراء;;;;القاهرة :;المطبعة السلفية،;1924-1930.;"مجلدات ؛ 25 سم";شهرية.;CEASE;متوفر ايضاً على ميكروفيلم : Mic-NA:000497;;في المكتبة: مج.1-5(1924-1929);صدرت سنة 1924.
b13592634;1  ;1924;1930;الزهراء :;مجلة علمية أدبية إجتماعية /;al-Zahrā’ :;الزهراء;;;;القاهرة :;المطبعة السلفية،;1924-1930.;"4 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في مكتبة يافث، دائرة المصغرات الفلمية.;في المكتبة:مج. 1-4 (1924-1927);صدرت سنة 1924.
