RECORD #(BIBLIO);MAT TYPE;008 Date One;008 Date Two;245|a;245|b;246|a;222|a;260|a;260|b;260|c;264|a;264|b;264|c;300;310;911;530;590;866;362
b12821238;1  ;1924;1985;صوت الأحرار :;يومية سياسية /;"Ṣawt al-aḥrār :$""الأحرار""";صوت الأحرار;;;;بيروت :;حزب الوطنيين الاحرار،;1924-1985.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر أيضاً بنسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في اماكن وتواريخ متعددة.;في المكتبة:1929:تموز-1985:تشرين الثاني;
b21055506;s  ;1924;1985;صوت الأحرار :;يومية سياسية /;"Ṣawt al-aḥrār :$""الأحرار""";صوت الأحرار;;;;بيروت :;حزب الوطنيين الأحرار،;1924-1985.;"مجلدات : مصورات ؛ 56 سم";يومية.;CEASE;متوفر أيضاً على ميكروفليم Mic-NA:000605.;نسخة مصورة على ميكروفيلم. تم التصوير في أماكن وتواريخ متعددة.;"في المكتبة: 1978:نيسان-أيلول؛ 1979:نيسان-1980:كانون الأول؛ 1981:تشرين الأول-كانون الأول";
b2328612x;s  ;1923;19uu;صوت الحق :;مجلة تحوي مباحث دينية تاريخية علمية أدبية عمرانية.;;صوت الحق ;;;;بيروت، لبنان :;مطبعة انجليل،;1923-[19؟؟];"عدد ؛ 21 سم";;CEASE;;;في المكتبة:مج.1:ع.3(1923:آذار);
b12823971;1  ;1893;1902;طرابلس الشام :;جريدة أسبوعية.;Ṭarābulus al-Shām :;طرابلس الشام;;;;طرابلس :;[محمد كامل البحيري]،;1893-1902.;"بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 1986.;في المكتبة : 1893-1901.;
b1371028x;s  ;1899;1900;غادة الفكر :;جريدة علمية أدبية فكاهية /;"جريدة علمية أدبية فكاهية$""Ghādat al-fikr :""";غادة الفكر;;;;بيروت :;الجامعة الاميركية في بيروت، القسم الإستعدادي،;1899-1900.;مجلدات;;CEASE;متوفر ايضاً على ميكروفيلم : Mic-P:AUB:000001;"The volume is available in AUB Archives/AA.4.2.1Student/Student Manuscript Magazines Box 3.$""تحفظ في دائرة الارشيف والمجموعات الخاصة.""";في المكتبة:مج.1:ع.1-11(1899 - 1900);
b13710990;1  ;1899;1900;غادة الفكر :;جريدة علمية أدبية فكاهية /;"جريدة علمية أدبية فكاهية$""Ghādat al-fikr :""";غادة الفكر;;;;بيروت :;الجامعة الاميركية في بيروت، القسم الإستعدادي،;1899-1900.;"1بكرة ميكرفيلم : سلبي وايجابي ؛ 35 مم";;CEASE;متوفر ايضاً : نسخة مطبوعة.;;في المكتبة : س.1 : ع.1 - 11 (1899 - 1900);
b12821937;1  ;1899;1975;غازيتة الحكومة السودانية /;;"Ghāzītat al-ḥukūmah al-Sūdānīyah $""غازيتة جمهورية السودان""$""غازيتة جمهورية السودان الديمقراطية""$""Sudan government gazette""$""Republic of the Sudan gazette""$""Democratic Republic of the Sudan gazette""";غازيتة الحكومة السودانية;;;;الخرطوم :;الحكومة السودانية،;1899-1975.;"3 بكرات ميكروفيلم : ايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية;في المكتبة:1907-1917.;
b12829705;s  ;1899;1975;غازيتة الحكومة السودانية /;;"al-Ghāzītah al-Sūdānīyah $""غازيتة جمهورية السودان""$""غازيتة جمهورية السودان الديمقراطية""$""Sudan government gazette""$""Republic of the Sudan gazette""$""Democratic Republic of the Sudan gazette""";غازيتة الحكومة السودانية;;;;الخرطوم :;الحكومة السودانية،;1899-1975.;مجلدات : مصورات;شهرية.;CEASE;السنوات 1907-1917 متوفرة ايضاً على ميكروفيلم رقم: Mic-NA:000110;;في المكتبة:1955-1973.;
b12818331;s  ;1906;1939;فتاة الشرق :;مجلة أدبية تاريخية روائية.;Fatāt al-Sharq :;فتاة الشرق;;;;مصر :;لبيبة هاشم،;1906-1939.;مجلدات : مصورات;شهرية.;CEASE;ايضاً نسخة مصورة على ميكروفيلم رقم: Mic-NA:000437;تحفظ الاعداد في دائرة الارشيف والمجموعات الخاصة.;"في المكتبة :ج1-7(1906-1913)؛ مج.8:ع:1، 9(1913:تشرين الأول، 1914:حزيران)؛ مج.18:ع.1-3، 5، 8-10(1923:تشرين الأول-كانون الأول، 1924:شباط، حزيران/تموز)؛ مج.22:ع.2، 9(1927:تشرين الثاني، 1928:حزيران)؛ مج.26:ع.7(1932:نيسان)؛ مج.27:ع.7، 9(1933:نيسان، حزيران)؛ مج.28:ع.10(1934:تموز)؛ مج.30:ع.8(1939:أيار)؛ مج.32:ع.3(1937:كانون الأول)";صدرت العدد الاول السنة الاولى عام 1906.
b13157905;1  ;1906;1939;فتاة الشرق :;مجلة ادبية تاريخية روائية.;Fatāt al-Sharq :;فتاة الشرق;;;;مصر :;لبيبة هاشم،;1906-1939.;"7 بكرة ميكروفيلم : سلبي وايجابي ؛ 35 مم";شهرية.;CEASE;متوفر ايضاً على نسخة مطبوعة.;"تحفظ الاعداد في دائرة الارشيف والمجموعات الخاصة.$""نسخة مصورة على ميكروفيلم. تم التصوير في دائرة المصغرات الفلمية، مكتبة يافث التذكارية، 2000""";في المكتبة :ج 1-7(1906-1913);صدرت العدد الاول السنة الاولى عام 1906.
